proteinID	geneID	uniprot	protein_name	gene_name
ENSG00000111962-MONOMER	HS03488	Q9Y2C2	uronyl 2-sulfotransferase	
STM2051-MONOMER	STM2051	Q9XDN1	CoA-dependent propanal dehydrogenase	PduP
MONOMER-21709	G-107454	A0A0A8J483	dTDP-L-Rha:6-<i>O</i>-acetyl-&alpha;-D-GlcNAc-PP-Und  &alpha;-(1,3)-rhamnosyltransferase	
MONOMER-16739	G-14588			
MONOMER-14242	G-10873	Q8GPG4	dimethylsulfide dehydrogenase &alpha; subunit	DdhA
YBR038W-MONOMER	YBR038W	P14180	chitin synthase 2	
MONOMER-17214			2-oxo-3-hexenedioate decarboxylase	4-oxalocrotonate decarboxylase
MONOMER-19697	G-44401	C8WMP0	NAD-dependent bile acid 3&alpha;-dehydrogenase	
MONOMER-17646			acetaldehyde dehydrogenase	
MONOMER-11629				
G6759-MONOMER	G6759	P76112	L-amino acid N-acyltransferase	MnaT, YncA
G185E-6476-MONOMER	G185E-6476	O53533	mycothiol-dependent formaldehyde dehydrogenase subunit	MscR
AT4G16450-MONOMER	AT4G16450	O23489	NADH-ubiquinone oxidoreductase 20.9 kDa subunit	
MONOMER-3942	G-3002	Q83WS0	formate-tetrahydrofolate ligase subunit	FtfL
MONOMER-20080	G-54965	Q5J7C7	[UDP-Gal:&alpha;-D-GalNAc-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und &beta;-(1,3)-galactosyltransferase	WfbH, WbiP
MONOMER-14711				
MONOMER-12217	G-9447			MtlD, mannitol dehydrogenase
YPR062W-MONOMER	YPR062W	Q12178	cytosine deaminase	
MONOMER-6566	G-5066	Q04809	dipicolinate synthase &alpha; subunit	DpaA
MONOMER-15306	G-11718	Q51508		PchA, salicylate biosynthesis isochorismate synthase, pyochelin biosynthetic protein PchA
MONOMER-18094	G-16087	Q1JUZ1		Nvd, Neverland, Rieske-domain protein Neverland
GTP-CYCLOHYDRO-II-MONOMER	EG11331	P0A7I7	GTP cyclohydrolase 2	RibA, GTP cyclohydrolase II
BAB_RS28150-MONOMER	BAB_RS28150	Q2YIY4	putative erythritol ABC transporter ATP-binding protein	EryE
MONOMER-20504	G-58293	Q64HC5	cysteine-<em>S</em>-conjugate &beta;-lyase	MetC, cystathionine-&beta;-lyase
MONOMER-18489	G-17971		gallate 1-&beta;-glucosyltransferase	
MONOMER-12758	G-15282	G3KIM6	electron-transferring flavoprotein &alpha; subunit	AcrA
HS03158-MONOMER	HS03158	Q92800	histone-lysine N-methyltransferase KMT6B	enhancer of zeste homolog 1, ENX-2, histone-lysine N-methyltransferase EZH1
CT_593-MONOMER	CT_593	O84597	succinate dehydrogenase, cytochrome subunit	SdhC
MONOMER-9461	G-7161	O64411	polyamine oxidase (propane-1,3-diamine forming)	MPAO, PAO
MONOMER-20934	G-80462	A0A1X9WE61	6-hydroxypicolinate 3-monooxygenase subunit 1	
MONOMER-15794	HS06046		<i>N</i>-acetylglucosamine-6-sulfatase 32 kDa chain	<i>N</i>-acetylglucosamine-6-sulfatase form B
MONOMER-13247	G-10082	Q684J7	&alpha;-ketoisovalerate decarboxylase subunit	KivD, KdcA
ACETYLGLUTKIN-MONOMER	EG10064	P0A6C8	acetylglutamate kinase	ArgB
NUOM-MONOMER	EG11773	P0AFE8	NADH:quinone oxidoreductase subunit M	NuoA, NuoM, NADH:ubiquinone oxidoreductase, membrane subunit M
MONOMER-16215	G-12510	B6CWJ1	preQ<sub>0</sub> phosphoribosyltransferase	ToyH
AT1G78590-MONOMER	AT1G78590		NADK3 subunit	
MONOMER-18883			&beta;-cyclopiazonate oxidocyclase II	
HS07937-MONOMER	HS07937	Q9Y663	[heparan sulfate]-glucosamine 3-<i>O</i>-sulfotransferase 3A1	h3-OST-3A, heparan sulfate 3-O-sulfotransferase 3A1, heparan sulfate D-glucosaminyl 3-O-sulfotransferase 3A1
EG11081-MONOMER	EG11081	P62623	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	YaaE, LytB, IspH
MONOMER-21314	G-80831	D8L2V9	3-amino-4-hydroxybenzoate 2-monooxygenase	
MONOMER-19271	G-43982	D7PI14	griseophenone C halogenase	
MONOMER-13705	G-10465	Q9F0I2		PhzO
LUMAZINESYN-MONOMER	EG11322	P61714	6,7-dimethyl-8-ribityllumazine synthase	YbaF, RibH, RibE
ENSG00000105568-MONOMER	HS02763	P30153	serine/threonine-protein phosphatase 2A regulatory subunit	medium tumor antigen-associated 61 kDa protein
STM0690-MONOMER	STM0690	P37463	FADH<sub>2</sub>:quinone oxidoreductase	TcuB, tricarballylate utilization protein TcuB
MONOMER-21693	G-107438	P21441	multidrug resistance protein	
MONOMER-16710	G-14567	P95480	tryptophan 7-halogenase subunit	PrnA
MONOMER-14213	G-10857	P70752	methanesulfonate monooxygenase ferredoxin component subunit	MsmC
AT4G13770-MONOMER	AT4G13770	P48421	CYP83A1	
YAR015W-MONOMER	YAR015W	P27616		Ade1
MONOMER-17196	G-14988	B7T912		HapE
MONOMER-19680	G-44387	B2J6X9	desmethyl-4-deoxygadusol synthase	
MONOMER-11609	G-9038	P10944		HutH
G6673-MONOMER	G6673	P77302	diguanylate cyclase DgcM	DgcM, YdaM
G185E-6251-MONOMER	G185E-6251	I6XD69	mycoketide-CoA synthase monomer	
MONOMER-3902	G-2962	P22641	methylamine dehydrogenase small subunit	MadB, MADH small subunit
MONOMER-20062	G-44755		carboxymethylcollulase	CelG
MONOMER-14673	G-11234	O87008	NADH:flavin adenine dinucleotide oxidoreductase	TftC
MONOMER-122			cob(II)yrinate <i>a,c</i>-diamide reductase subunit	
YOR303W-MONOMER	YOR303W	P07258	carbamoyl phosphate synthetase	
MONOMER-642	G-146	P75124		GalU
MONOMER-17632	G-15347	Q9F834	dTDP-3-<i>N,N</i>-dimethylamino-4-oxo-2,3,6-trideoxy-&alpha;-L-glucose 4-ketoreductase	
MONOMER-15286				
MONOMER-18076	G-16070	Q97YI7	malate synthase subunit	
GPMA-MONOMER	EG11699	P62707	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	Gpm, GpmA
BAB_RS18465-MONOMER	BAB_RS18465	Q2YMM0	UDP-<em>N</em>-acetylglucosamine 4,6-dehydratase (configuration-retaining)	CapD, WbkD, polysaccharide biosynthesis protein
MONOMER-20488	G-58277	I0IVM9	acinetoferrin synthase	AcbC
MONOMER-18470	G-17956	Q4AEC6	taurocyamine kinase subunit	
MONOMER-12742	G-9770	Q675L4	levopimaradiene/abietadiene synthase	
HS02896-MONOMER	HS02896	P20839	inosine-5'-monophosphate dehydrogenase 1 monomer	IMPDH-I
CPD0-1515			antizyme	
MONOMER-9423				homoserine <i>O</i>-transacetylase
MONOMER-20881	G-80444		inositol 1-<i>O</i>-methyltransferase	
MONOMER-15774	G-12117	Q8H8T0	UDP-arabinopyranose mutase 1	
MONOMER-13228	G-10069	Q05600		CbiB
76890-MONOMER	G-76890	P0AGG8	metalloprotease subunit TldD	YhdO, TldD, protease involved in Microcin B17 maturation and in sensitivity to the DNA gyrase inhibitor LetD
NRDA-MONOMER	EG10660	P00452	ribonucleoside-diphosphate reductase 1 subunit &alpha;	DnaF, NrdA
MONOMER-16198	G-12492	Q9KPS2	Na(+)-translocating NADH-quinone reductase subunit B	NqrB
AT1G74540-MONOMER	AT1G74540	Q9CA61	cytochrome P450 98A8	CYP98A8
MONOMER-18860	G-34568			NirJ
HS07726-MONOMER	HS07726	Q93063	exostosin-2	glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase, multiple exostoses protein 2, tumor suppressor protein EXT2
EG11012-MONOMER	EG11012	P02929	Ton complex subunit TonB	ExbA, TonB
MONOMER-21298	G-80818	Q8U1K3	tungsten-containing formaldehyde:ferredoxin oxidoreductase monomer	For
MONOMER-19255			ECB subunit 2	
MONOMER-13677	G-10437	Q0QLE1	dimethylmaleate hydratase subunit B	DmdB
LINCPSEPA-MONOMER	G-259	P50197		LinC
ENSG00000096717-MONOMER	HS01870	Q96EB6	NAD-dependent deacetylase sirtuin-1	hSIRT1, SIR2-like protein 1
SOXADENIT-MONOMER	G-309	O33434	SoxA	cytochrome c subunit
MONOMER-21677	G-107426	Q10SY9	silicon efflux transporter LSI2	
MONOMER-16675	G-14531	Q08388	phosphatidylethanolamine <i>N</i>-methyltransferase	
MONOMER-14185	G-10834		leucoanthocyanidin reductase	
AT4G04930-MONOMER	AT4G04930	Q9ZPH4	sphingolipid 4-desaturase	
X01347-MONOMER	G-11991	P29812	L-dopachrome tautomerase monomer	tyrosinase-related protein 2
MONOMER-17177	G-14969	H9N291	FMN reductase [NAD(P)H]	NdmD, oxidoreductase NdmD
MONOMER-19664	G-44366	A0A097SRF0	biphenyl 2,3-dioxygenase ferredoxin subunit	
MONOMER-11591	G-9027	Q47317	N<sup>6</sup>-hydroxylysine <i>O</i>-acetyltransferase subunit	IucB
G6634-MONOMER	G6634	P77766	RNase AM	TrpH, YciV, RNA/ssDNA 5'&rarr;3' exonuclease
G185E-5515-MONOMER	G185E-5515	P9WP53	CysO-thiocarboxylate-dependent cysteine synthase monomer	CysM
MONOMER-3861	G-2921	P22869	soluble methane monooxygenase hydroxylase component &alpha; subunit	MmoX, sMMO hydroxylase &alpha; subunit
MONOMER-20046	G-44746	Q9KK91	chitoporin	ChiP
MONOMER-14656	G-11217	Q471R4	methylmuconolactone isomerase monomer	MmlJ
MONOMER-12177	G-9416	Q58806	lactaldehyde dehydrogenase subunit	
YOR002W-MONOMER	YOR002W	Q12001	(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol glucosyltransferase	Dol-PP-GlcNAc2:Man9:Glc transferase
MONOMER-6244				
MONOMER-17614			D-lactate dehydrogenase	
MONOMER-15245			cyclohexane-1,2-dione hydrolase	
MONOMER-18055	G-16050	Q9L9F3	8-demethylnovobiocic acid C8-methyltransferase	NovO
GLYCOPHOSPHORYL-MONOMER	EG10380	P0AC86	glycogen phosphorylase	GlgY, GlgP
B0612-MONOMER	G6338	P0AE74		YbdS, CitT, CitT citrate DASS Transporter
MONOMER-20471	G-58260	Q6W4T3	L-cysteine--[L-cysteinyl-carrier protein] ligase	AngR
MONOMER-12716			glyceraldehyde 3-phosphate dehydrogenase subunit	
HS02640-MONOMER	HS02640	P06732	creatine kinase M-type subunit	creatine kinase M-type
MONOMER-9281			phosphomannose isomerase	PMI, phosphomannoisomerase, mannose-6-phosphate isomerase
MONOMER-20863	G-80426	B5BLW5	arylesterase	Are
MONOMER-15749			xanthine oxidase 61.8 kDa subunit	
MONOMER-13212	G-10053	Q05602	adenosylcobalamin 5'-phosphate synthase	cobalamin synthase, adenosylcobinamide-GDP ribazoletransferase, CobS, adenosylcobinamide-GDP:&alpha;-ribazole-5-phosphate ribazoletransferase
2ASDOSOXY-MONOMER			orthanilate dioxygenase system, oxygenase component	
NIFDKLEB-MONOMER	G-368	P00466	[FeMo]-nitrogenase complex dinitrogenase component &alpha; subunit	NifD, nitrogenase molybdenum-iron protein
MONOMER-18451	G-17941	Q0S7V5	3-[(3a<i>S</i>,4<i>S</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-octahydro-1<i>H</i>-inden-4-yl]propanoyl:CoA ligase	
MONOMER-16176	G-12478	Q51330	oxalate:formate antiporter	OxlT
CMTB-MONOMER	EG11791	P69824	mannitol-specific PTS enzyme IIA component CmtB	TolM, Enzyme IIA<sup>Cmt</sup>, EIIA<sup>Cmt</sup>, Enzyme III<sup>Cmt</sup>
AT1G69500-MONOMER	AT1G69500	Q9C788	long-chain fatty acid &omega;-hydroxylase	
MONOMER-18846	G-34554	O94431	hercynylcysteine <i>S</i>-oxide lyase	
HS07564-MONOMER	G-7921	P78417	glutathione transferase, &Omega; class subunit	
EG10950-MONOMER	EG10950	P0AGC3	soluble lytic murein transglycosylase	SltY, Slt, Slt70
MONOMER-21281	G-80797	Q9KX26		CoxE
MONOMER-13651				
KUP-MONOMER	EG11541	P63183	K<sup>+</sup>:H<sup>+</sup> symporter Kup	TrkD, Kup
SIROHEMESYN-MONOMER	EG10188	P0AEA8	siroheme synthase	CysG
MONOMER-21658	G-81176	Q45XG6	PEP:&beta;-D-GlcNAc-(1&rarr;3)-&beta;-L-Rha-(1&rarr;4)-&alpha;-D-GlcNAc-PP-Und pyruvoyltransferase	WbuT
MONOMER-16653	G-14511	Q9F284	&iota;-carrageenase	CgiA
MONOMER-14163	G-10822	Q8GZD8		
AT3G62830-MONOMER	AT3G62830	Q9LZI2	subunit of UDP-glucuronate decarboxylase	
URIDYLYL-PII2	EG12191		uridylyl-[protein PII-2]	YbaI, GlnK, modified protein PII 2, uridylyl-[GlnK]
MONOMER-19242	G-43955	Q8TU11	archaetidylglycerol synthase	
MONOMER-17161	G-14953		3-succinoylsemialdehyde-pyridine dehydrogenase monomer	Sap
ENSG00000074800-MONOMER	HS01152	P06733	Alpha-enolase	2-phospho-D-glycerate hydro-lyase, C-myc promoter-binding protein, enolase 1, MBP-1, MPB-1, NNE, non-neural enolase, phosphopyruvate hydratase, plasminogen-binding protein
MONOMER-19630	G-44332	Q7TXL6	phthiocerol synthase PpsE PKS	PpsE
MONOMER-11570			arginine 2-monooxygenase	
G66-32717-MONOMER	G66-32717	Q5VYX0	renalase	MAO-C, monoamine oxidase-C
G185E-5349-MONOMER	G185E-5349	A0A089QRB9	mycolipanoate synthase monomer	pks3/4
MONOMER-3682	G-2782		nitrite oxidoreductase &beta; subunit	NorB
MONOMER-20031	G-44731	Q8DNG0	polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase LytR	LytR
MONOMER-14629	G-11194		histidine decarboxylase cleavage product &alpha; chain	HdcA
MONOMER-12149	G-9398			LPAAT, LAT2
YNL220W-MONOMER	YNL220W	P80210	Ade12	
MONOMER-6107			&alpha;-D-3-ketoglucoside 3-ketoglucohydrolase	
MONOMER-17599	G-15318	Q9ALN4		SpnM
MONOMER-15210	G-11640	Q0HWI9	putrebactin synthetase monomer	PubC
MONOMER-18036	G-16032	Q93XD5	3-ketoacyl-CoA synthase	
GLUTATHIONE-REDUCT-NADPH-MONOMER	EG10412	P06715	glutathione reductase (NADPH)	GorA, Gor
ATPB-MONOMER	EG10099	P0AB98	ATP synthase F<sub>o</sub> complex subunit a	UncB, PapD, AtpB, protein 6, chain A, ATP synthase F<sub>o</sub> complex - a subunit
MONOMER-20455	G-58243	A0A222FYW4	succinate-semialdehyde dehydrogenase (NAD<small><sup>+</sup></small>)	NmpF
MONOMER-12691	G-9737	Q75VW6	citryl-CoA synthetase small subunit	CcsB
HS02321-MONOMER	HS02321	O43463	histone-lysine <em>N</em>-trimethyltransferase KMT1A	H3-K9-HMTase 1, histone H3-K9 methyltransferase 1, lysine N-methyltransferase 1A, position-effect variegation 3-9 homolog, Su(var)3-9 homolog 1, suppressor of variegation 3-9 homolog 1, histone-lysine N-methyltransferase SUV39H1
MONOMER-9123			cytosolic enolase	2-phospho-D-glycerate hydrolase
MONOMER-20847	G-80409	A0A2R4BQP1	phenylphosphate synthase subunit A	
MONOMER-15732	G-12088	B1N7H3	phenylacetaldehyde dehydrogenase monomer	PeaE
MONOMER-13196	G-10041	Q96V44		
NARG-MONOMER	EG10638	P09152	nitrate reductase A subunit &alpha;	ChlC, NarC, NarG
MONOMER-18434			synephrine dehydratase subunit	
MONOMER-16147	G-12447	Q9X034	5-methylthioadenosine/S-adenosylhomocysteine deaminase	MtaD
CHRECP063-MONOMER	CHRECP063	O19930	Photosystem II reaction center protein J	PsbJ
AT1G66280-MONOMER	AT1G66280		scopolin &beta;-glucosidase	scopolin beta-glucosidase
MONOMER-18830	G-34538	Q5W254	L-prolyl-<i>S</i>-[peptidyl-carrier protein] dehydrogenase	PigA
HS07428-MONOMER	HS07428	Q8TDX6	chondroitin sulfate <i>N</i>-acetylgalactosaminyltransferase 1	Beta4GalNAcT-1, chondroitin &beta;-1,4-<i>N</i>-acetylgalactosaminyltransferase 1, CsGalNAcT-1
EG10914-MONOMER	EG10914	P0ADZ4	30S ribosomal subunit protein S15	SecC, RpsO
MONOMER-21264	G-80783	A0A3T2J473		
MONOMER-13636	G-10392	Q0KAG5		PrpB
IPPISOM-MONOMER	G7508	Q46822	isopentenyl-diphosphate &Delta;-isomerase	YgfV, Idi
SECE	EG10939	P0AG96	Sec translocon subunit SecE	SecE, MbrC, PrlG
MONOMER-21642	G-81160	Q47594	mannosyl-<i>N</i>-acetyl-&alpha;-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-&alpha;-mannosyltransferase	MtfB, WbdB
MONOMER-16631	G-14489	O67010	tRNA (guanine<sup>26</sup>-<i>N<sup>2</sup></i>guanine<sup>27</sup>-<i>N<sup>2</sup></i>)-dimethyltransferase	
MONOMER-14144	G-10808			
AT3G56650-MONOMER	AT3G56650	Q9LXX5	PsbP domain-containing protein 6	OEC23-like protein 1
UDPNACETYLGLUCOSAMACYLTRANS-MONOMER	EG10545	P0A722	acyl-[acyl-carrier-protein]&mdash;UDP-<i>N</i>-acetylglucosamine <i>O</i>-acyltransferase	LpxA, UDP-N-acetylglucosamine acyltransferase
MONOMER-19226	G-43938	G8G2V6	ulvan lyase	
MONOMER-17139	G-14931	P82125	1,5-anhydro-D-fructose reductase	
ENSG00000023909-MONOMER	HS00434	P48507	Glutamate--cysteine ligase regulatory subunit	&gamma;-ECS regulatory subunit, &gamma;-glutamylcysteine synthetase regulatory subunit, GCS light chain, glutamate--cysteine ligase modifier subunit
MONOMER-19608	G-44310	Q333U7	TioS non-ribosomal peptide synthase	TioS
MONOMER-11553	G-9007	P09773	ornithine cyclodeaminase	Ocd, ArcB
G6567-MONOMER	G6567	P75949	&beta;-N-acetylhexosaminidase	YcfO, NagZ, hexosaminidase
G185E-4968-MONOMER	G185E-4968	P9WJM7		MshD
MONOMER-3562	G-2622	Q9YGB0	tryptophan synthase &beta; subunit	TrpB
MONOMER-14610	G-11177	Q9SY55		At1g10130, ACA6
MONOMER-12110	G-9372	Q9MBC1	anthocyanidin 3-<i>O</i>-glucoside 6''-<i>O</i>-acyltransferase	anthocyanin 3-aromatic acyltransferase
YMR250W-MONOMER	YMR250W			
MONOMER-6022	G-4522	Q44316		TreZ
MONOMER-17581	G-15301	B1P0R8	enoyl-[acyl-carrier-protein] reductase (NADH)	FabV
MONOMER-15167	G-11604	Q84KZ3		
MONOMER-2002	G-1382		(<i>R</i>)-homocitrate synthase	AksA
MONOMER-18015	G-16007	D2Z028		DcsE
GLUC1PURIDYLTRANS-MONOMER	EG11319	P0AEP3	UTP&mdash;glucose-1-phosphate uridylyltransferase	GalU, YchD
G3O-31606-MONOMER	G3O-31606	P46995	histone H3 lysine-36 <i>N</i>-trimethyltransferase	SET domain-containing
ATCG00490-MONOMER	ATCG00490	O03042	ribulose-bisphosphate carboxylase/oxygenase large subunit	RubisCO large subunit, ribulose bisphosphate carboxylase large chain
MONOMER-20431	G-58219		adenosylcobinamide-GDP ribazoletransferase	CobS
MONOMER-12660	G-9721	O59655	Ech hydrogenase 15 kDa subunit	EchD
HS02107-MONOMER	HS02107	Q9Y5K8	H<sup>+</sup>-translocating V-ATPase subunit D	V-ATPase 28 kDa accessory protein, V-ATPase subunit D, Vacuolar proton pump subunit D, V-type proton ATPase subunit D
MONOMER-9001				UDP-Glc DH, NAD<sup>+</sup> 6-oxidoreductase
MONOMER-20831	G-80394	A0A1N7U0F8	acetyl-CoA C-acetyltransferase	
MONOMER-15716	G-12073	C3UVB9	diphenylamine dioxygenase ferredoxin component	DpaAc
MONOMER-13176	G-10022	Q9JK38	glucosamine-6-phosphate <i>N</i>-acetyltransferase 1	EMeg32
NAD-SYNTH-MONOMER	EG10663	P18843	NH<sub>3</sub>-dependent NAD<sup>+</sup> synthetase	Efg, NtrL, NadE
MONOMER-18417	G-17914	O87692	cobalt-precorrin-8 methylmutase	CbiC
MONOMER-16130	G-12434	Q870P2		
CHRECP003-MONOMER	CHRECP003	P36437	light-independent protochlorophyllide reductase subunit B	ChlB, ChreCp003, DPOR subunit B
AT1G62570-MONOMER	AT1G62570	Q93Y23	glucosinolate <i>S</i>-oxygenase 4	
MONOMER-18815	G-34523	Q0K7F8	dihydroxyacid dehydratase	IlvD, dihydroxy-acid dehydratase, DHAD
HS07168-MONOMER	HS07168	Q8TCD6	pyridoxal phosphate phosphatase	hypothetical protein MGC22679, Kelch-like protein 23
EG10892-MONOMER	EG10892	P0A7P5	50S ribosomal subunit protein L34	SsaF, RimA, RpmH
MONOMER-21248	G-80765	A0A2R2JFI0	omphalotin methyltranferase monomer	
MONOMER-13618	G-10385	Q8ZRS8	aconitate hydratase 2	AcnB
HYCBSMALL-MONOMER	EG10475	P0AAK1	formate hydrogenlyase subunit HycB	HevB, HycB, hydrogenase 3, Fe-S subunit HycB, formate hydrogenlyase complex, iron-sulfur protein HycB
SCO5888-MONOMER	SCO5888		3-oxoacyl-[acyl-carrier-protein] synthase RedP	RedP
MONOMER-21624	G-81145	A0A0A8J4V4	UDP-Glc:&alpha;-D-GalNAc-PP-Und &alpha;-(1,3)-glucosyltransferase	WdcD
MONOMER-16610			xyloglucan-specific exo-&beta;-1,4-glucanase	
MONOMER-14121			3-hydroxyacyl-ACP dehydrase monomer	
AT3G51820-MONOMER	AT3G51820	Q38833	chlorophyll synthetase	AT3g51820, chlorophyll synthase
TX72_RS13115-MONOMER	TX72_RS13115	Q7U8A1	cytochrome <i>b<sub>6</sub>f</i> complex subunit PetG	PetG
MONOMER-19210			abscisic acid 7'-hydroxylase	
MONOMER-17111	G-14912	Q8Y8H3	lipoate&mdash;protein ligase	
EICOMP-MONOMER	G-58765	G3KIM5	lactoyl-CoA dehydratase archerase monomer	LcdC, E I component of lactoyl-CoA dehydratase, activator component of lactoyl-CoA dehydratase
MONOMER-19592	G-44294	Q0X0B3	L-tryptophyl-[tryptophyl-carrier protein] &beta;-monooxygenase	
MONOMER-11527	G-8986			MdlA
G6519-MONOMER	G6519	P75894	putative malonic semialdehyde reductase	YcdI, RutE
G185E-4532-MONOMER	G185E-4532	P9WNE1	glucose-6-phosphate dehydrogenase (coenzyme-F420) monomer	
MONOMER-3469	G-2549	Q8RQW0	LigK	
MONOMER-14590	G-11159	Q58980	fructose 1,6-bisphosphate aldolase monomer	
MONOMER-12076			dihydroflavonol 4-reductase	
YMR013C-MONOMER	YMR013C	P20048	dolichol kinase	dolichol phosphokinase
MONOMER-594				
MONOMER-17565			(S)-hydroxynitrile lyase	
MONOMER-15148	G-11587	Q83WG5		StaG
MONOMER-20003	G-44703	Q2FZP8	diglucosyl-diacylglycerol permease	LtaA
MONOMER-18000	G-15989	A8CDW6	anthocyanidin 3-<i>O</i>-glucosyltransferase	
GKI-MONOMER	EG11175	P23524	glycerate 2-kinase 1	YhaD, GarK, glycerate 2-kinase I
G3O-30709-MONOMER	G3O-30709	P53070	mitochondrial translation optimization protein 1	
AT5G63770-MONOMER	AT5G63770	Q9FFN7		
MONOMER-20415	G-58203	A0A1L1VVZ8	3-[(<i>Z</i>)-2-isocyanoethenyl]-1<i>H</i>-indole geranyltransferase	FimD
MONOMER-12646	G-9708	P31898	hydrogenase <i>b</i>-type cytochrome subunit	HoxZ
HS01949-MONOMER	HS01949	P36269	&gamma;-glutamyltransferase 5 proenzyme	
MONOMER-888	G-545	O07460	BadD	BadD, &gamma; subunit of benzoyl-CoA reductase
MONOMER-15700	G-12059	B1AAM3	chlorite O<sub>2</sub>-lyase monomer	Cld
MONOMER-13151	G-10004	P09139	serine-pyruvate aminotransferase, mitochondrial subunit	
MTRBMAUTO-MONOMER	G-333		tetrahydromethanopterin <i>S</i>-methyltransferase subunit B	MtrB, MtrB subunit
MONOMER-18402	G-17899	Q0ZQ43		FrbF
MONOMER-16111	G-12420	Q92R20	sulfate adenylyltransferase &alpha; subunit	CysN
CHLREDRAFT_191690-MONOMER	CHLREDRAFT_191690	A8J264	chlorophyll a-b binding protein of LHCII	
AT1G57750-MONOMER	AT1G57750	Q9FVS9		CYP96A15
MONOMER-20816	G-63076	Q6VT94		PedG
MONOMER-18799	G-34507	Q58217		
HS06971-MONOMER	HS06971	Q96A70	arginine decarboxylase	ADC, ARGDC, ODC-p, ODC-paralogue, ornithine decarboxylase-like protein
EG10875-MONOMER	EG10875	P0ADY3	50S ribosomal subunit protein L14	RplN
MONOMER-21233	G-80750		IpdB	
MONOMER-13597	G-10368	Q877I5	acyl CoA carboxylase biotin carboxylase subunit	AccC
HS16266-MONOMER	HS16266	Q8TCT1	phosphoethanolamine/phosphocholine phosphatase	
SCO5072-MONOMER	SCO5072		ActVI-1	
MONOMER-16589	G-12829	P74564	Photosystem I reaction center subunit PsaK 2	Photosystem I subunit X 2
MONOMER-14094	G-10769	Q84KJ7	ammonium transporter 2 member 1	ammonium transporter (Os05g0468700 protein)
AT3G45070-MONOMER	AT3G45070			
TX72_RS09910-MONOMER	TX72_RS09910	Q7U4U6	cytochrome <i>b</i><sub>6</sub>	PetB
MONOMER-19194	G-43913		alginate lyase	AlgL
MONOMER-17092	G-14895	A4F7N5	dTDP-3-amino-3,4,6-trideoxy-&alpha;-<small>D</small>-glucopyranose <em>N</em>,<em>N</em>-dimethyltransferase	
EG12600-MONOMER	EG12600	P39411	inosine/xanthosine triphosphatase	YjjX, ITPase/XTPase
MONOMER-19576	G-44278	O13317	isotrichodermin 15-hydroxylase	
MONOMER-11393	G-8870	P23133	2-hydroxy-6-oxohepta-2,4-dienoate hydrolase	TodF
G6439-MONOMER	G6439	P75806	undecaprenyl pyrophosphate phosphatase	YbjG, BcrC<sub>EC</sub>
G12WB-502-MONOMER	G12WB-502	Q188I2	2-hydroxyisocaproyl-CoA dehydratase activator	HadI
MONOMER-3403	G-2483	P23107	2-oxopent-4-enoate hydratase subunit	XylJ
MONOMER-14574	G-11145	P09979		Hyg
MONOMER-12046				
YLR420W-MONOMER	YLR420W	P20051	dihydrooratase	
MONOMER-584	G-166	P75392		PdhC
MONOMER-17548	G-15268	Q93EK1		Gtt
MONOMER-15131	G-11567	Q9WXJ9	glutathione lyase	LigG
MONOMER-19989	G-44689	A0A0H3K7D6	teichoic acid  ABC transporter ATP hydrolase component	TarH
MONOMER-17982	G-15976	B3EY95	succinyl-CoA:acetate CoA-transferase monomer	AarC
GI40-529-MONOMER	GI40-529	Q8KQL6	diacylglycerol &alpha;-glucosyltransferase	Dgs
G3O-29993-MONOMER	G3O-29993	Q03305	L-arginine N5 methyltransferase	
AT5G58220-MONOMER	AT5G58220	Q9LVM5	S-allantoin synthase	hydroxyisourate hydrolase / OHCU decarboxylase
MONOMER-20399	G-58187	D3V9Q5	L-tyrosine isonitrile desaturase/decarboxylase	PcvB
MONOMER-12621	G-9688	P27217		ScrB
HS01679-MONOMER	HS01679	O95178	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial	CI-AGGG, Complex I-AGGG, NADH-ubiquinone oxidoreductase AGGG subunit
MONOMER-869	G-544		Me3	
MONOMER-15683	G-12050	Q9HH76		CpdS, UppS
MONOMER-13133				
MONOMERQT-2773	GQT-5778	Q9SG91	cytochrome <i>bc</i><sub>1</sub> complex subunit 8	
MONOMER-18387	G-17886	Q6L6S1		glycosphingolipid-specific enzyme, GSL-specific enzyme
MONOMER-16096	G-12402	Q9UTM9	L-saccharopine oxidase	
CHLREDRAFT_155150-MONOMER	CHLREDRAFT_155150	Q9SPI9	Photosystem II reaction center W protein	PSII 6.1 kDa protein
AT1G49430-MONOMER	AT1G49430	Q9XIA9		
MONOMER-20799	G-63058	B0LI35	cylindrospermopsin sulfotransferase	CyrJ
MONOMER-18781	G-34489	Q9Y7D0	lovastatin enoyl reductase	LovC
